alg;inst;repl;dist; 
full;0;1;226.55; 
full;1;1;220.75;
full;2;1;222.92;
full;3;1;260.63;
full;4;1;259.89;
full;5;1;220.99;
full;6;1;227.77;
full;7;1;220.75;
full;8;1;268.58;
full;9;1;275.25;
full;10;1;273.47;
full;11;1;261.53;
full;12;1;301.58;
full;13;1;343.53;
full;14;1;305.36;
full;15;1;305.88;
full;16;1;272.7;
full;17;1;305.05;
full;18;1;298.37;
full;19;1;294.9;
full;20;1;358.97;
full;21;1;397.27;
full;22;1;374.33;
full;23;1;374.8;
full;24;1;335.57;
full;25;1;387.29;
full;26;1;378.69;
full;27;1;400.04;
full;28;1;388.95;
full;29;1;403.84;
full;30;1;539.32;
full;31;1;587.02;
full;32;1;635.66;
full;33;1;644.66;
full;34;1;503.07;
full;35;1;600.03;
full;36;1;607.17;
full;37;1;661.02;
full;38;1;659.35;
full;39;1;641.78;
full;40;1;362.85;
full;41;1;400.17;
full;42;1;365.15;
full;43;1;381.15;
full;44;1;436.47;
full;45;1;456.64;
full;46;1;489.29;
full;47;1;506.45;
full;48;1;549.9;
full;49;1;618.36;
full;50;1;481.65;
full;51;1;507.3;
full;52;1;680.33;
full;53;1;551.21;
full;54;1;651.53;
full;55;1;361.34;
full;56;1;384.02;
full;57;1;390.48;
full;58;1;404.57;
full;59;1;445.63;
full;60;1;2278.52;
full;61;1;2243.28;
full;62;1;2446.71;
full;63;1;2444.42;
full;64;1;2396.22;
full;65;1;628.95;
full;66;1;721.21;
full;67;1;764.4;
full;68;1;766.74;
full;69;1;909.45;
full;70;1;772.04;
full;71;1;841.13;
full;72;1;775.23;
full;73;1;763.96;
full;74;1;933.52;
full;75;1;453.64;
full;76;1;452.44;
full;77;1;451.57;
full;78;1;509.94;
full;79;1;508.05;
full;80;1;505.12;
full;81;1;448.8;
full;82;1;455.63;
full;83;1;509.73;
full;84;1;626.25;
full;85;1;801.57;
full;86;1;818.34;
full;87;1;839.32;
full;88;1;845.84;
full;89;1;973.15;
full;90;1;582.47;
full;91;1;582.47;
full;92;1;648.1;
full;93;1;621.85;
full;94;1;671.05;
full;95;1;423.74;
full;96;1;412.69;
full;97;1;408.9;
full;98;1;400.95;
full;99;1;461.17;
full;100;1;729.21;
full;101;1;799.26;
full;102;1;887.62;
full;103;1;871.71;
full;104;1;989.53;
full;105;1;754.46;
full;106;1;778.43;
full;107;1;990.79;
full;108;1;1021;
full;109;1;1086.84;
full;110;1;705.79;
full;111;1;812.77;
full;112;1;878.06;
full;113;1;1037.06;
full;114;1;969.18;
full;115;1;725.46;
full;116;1;804.9;
full;117;1;985.37;
full;118;1;868.94;
full;119;1;970.16;
full;120;1;890.96;
full;121;1;1044.72;
full;122;1;1040.52;
full;123;1;1141.17;
full;124;1;1210.81;
full;125;1;824.21;
full;126;1;809.92;
full;127;1;990.53;
full;128;1;1114.9;
full;129;1;1061.51;
full;130;1;929.13;
full;131;1;1072.8;
full;132;1;972.5;
full;133;1;1199.9;
full;134;1;1316.36;
full;135;1;955.46;
full;136;1;1227.49;
full;137;1;1516.62;
full;138;1;1631.47;
full;139;1;1935.99;
full;140;1;1969.59;
full;141;1;1984.63;
full;142;1;1952.11;
full;143;1;1813.55;
full;144;1;1896.26;
full;145;1;1085.35;
full;146;1;1250.93;
full;147;1;1493.01;
full;148;1;1415.24;
full;149;1;1606.25;
full;150;1;1378.96;
full;151;1;1511.22;
full;152;1;1636.24;
full;153;1;1982.88;
full;154;1;2377.16;
full;155;1;1405.16;
full;156;1;1478.84;
full;157;1;1577.51;
full;158;1;1854.41;
full;159;1;1941.96;
full;160;1;1313.11;
full;161;1;1403.59;
full;162;1;1701.42;
full;163;1;1917.32;
full;164;1;1999.37;
full;165;1;617.34;
full;166;1;698.55;
full;167;1;769.6;
full;168;1;898.03;
full;169;1;899.07;
full;170;1;766.46;
full;171;1;848.45;
full;172;1;998.18;
full;173;1;1133.06;
full;174;1;1235.35;
full;175;1;689.85;
full;176;1;811.85;
full;177;1;1008.78;
full;178;1;1092;
full;179;1;1301.56;
full;0;2;224.47;
full;1;2;227.94;
full;2;2;229.31;
full;3;2;252.32;
full;4;2;249.41;
full;5;2;237.94;
full;6;2;229.31;
full;7;2;220.99;
full;8;2;271.52;
full;9;2;260.77;
full;10;2;282.65;
full;11;2;271.37;
full;12;2;325.8;
full;13;2;305.16;
full;14;2;352.15;
full;15;2;305.88;
full;16;2;305.88;
full;17;2;315.46;
full;18;2;302.55;
full;19;2;313.05;
full;20;2;357.52;
full;21;2;368.69;
full;22;2;380.79;
full;23;2;324.03;
full;24;2;319.93;
full;25;2;385.84;
full;26;2;358.53;
full;27;2;370.33;
full;28;2;365.71;
full;29;2;367.5;
full;30;2;545.87;
full;31;2;566.31;
full;32;2;567.31;
full;33;2;644.66;
full;34;2;522.84;
full;35;2;620.34;
full;36;2;623.51;
full;37;2;662.03;
full;38;2;685.02;
full;39;2;660.92;
full;40;2;362.85;
full;41;2;442.34;
full;42;2;401.29;
full;43;2;355.04;
full;44;2;405.22;
full;45;2;464.74;
full;46;2;570.83;
full;47;2;496.84;
full;48;2;591.63;
full;49;2;633.54;
full;50;2;495.66;
full;51;2;503.96;
full;52;2;645.4;
full;53;2;593.88;
full;54;2;734;
full;55;2;367.41;
full;56;2;348.1;
full;57;2;362.44;
full;58;2;384.25;
full;59;2;402.65;
full;60;2;2171.02;
full;61;2;2243.28;
full;62;2;2446.71;
full;63;2;2584.36;
full;64;2;2579.92;
full;65;2;639.44;
full;66;2;690.25;
full;67;2;830.14;
full;68;2;795.18;
full;69;2;840.76;
full;70;2;806.99;
full;71;2;841.13;
full;72;2;775.23;
full;73;2;786.41;
full;74;2;933.52;
full;75;2;453.64;
full;76;2;405.04;
full;77;2;453.98;
full;78;2;509.94;
full;79;2;525.74;
full;80;2;445.95;
full;81;2;511.49;
full;82;2;463.22;
full;83;2;524.15;
full;84;2;611.18;
full;85;2;922.67;
full;86;2;818.34;
full;87;2;987.96;
full;88;2;953.76;
full;89;2;926.65;
full;90;2;538.98;
full;91;2;526.25;
full;92;2;634.84;
full;93;2;595;
full;94;2;573.84;
full;95;2;454.2;
full;96;2;428.34;
full;97;2;403.72;
full;98;2;390.95;
full;99;2;461.17;
full;100;2;758.32;
full;101;2;794.84;
full;102;2;887.62;
full;103;2;969.15;
full;104;2;1042.47;
full;105;2;754.46;
full;106;2;778.43;
full;107;2;990.79;
full;108;2;987.09;
full;109;2;1274.59;
full;110;2;705.79;
full;111;2;842.46;
full;112;2;878.06;
full;113;2;1037.06;
full;114;2;876.68;
full;115;2;725.46;
full;116;2;829.68;
full;117;2;985.37;
full;118;2;868.94;
full;119;2;875.91;
full;120;2;921.85;
full;121;2;1067.91;
full;122;2;1040.52;
full;123;2;1166.51;
full;124;2;1168.84;
full;125;2;828.24;
full;126;2;1049.26;
full;127;2;1160.84;
full;128;2;1276.13;
full;129;2;1048.75;
full;130;2;957.54;
full;131;2;910.58;
full;132;2;972.5;
full;133;2;1063.3;
full;134;2;1388.54;
full;135;2;924.73;
full;136;2;1260.62;
full;137;2;1158.15;
full;138;2;1509.23;
full;139;2;1991.1;
full;140;2;1969.59;
full;141;2;2009.09;
full;142;2;1834.35;
full;143;2;1928.02;
full;144;2;1896.26;
full;145;2;1109.79;
full;146;2;1250.93;
full;147;2;1519.45;
full;148;2;1415.24;
full;149;2;1536.19;
full;150;2;1442.86;
full;151;2;1511.22;
full;152;2;1639.02;
full;153;2;1995.28;
full;154;2;2377.16;
full;155;2;1418.41;
full;156;2;1478.84;
full;157;2;1692.33;
full;158;2;2019.72;
full;159;2;1892.76;
full;160;2;1313.11;
full;161;2;1403.59;
full;162;2;1617.55;
full;163;2;1702.62;
full;164;2;1964.88;
full;165;2;617.34;
full;166;2;698.55;
full;167;2;815.18;
full;168;2;898.03;
full;169;2;899.07;
full;170;2;766.46;
full;171;2;848.45;
full;172;2;998.18;
full;173;2;1033.74;
full;174;2;1405.24;
full;175;2;689.85;
full;176;2;811.85;
full;177;2;1008.78;
full;178;2;1092;
full;179;2;1310.36;
full;0;3;229.31;
full;1;3;226.74;
full;2;3;227.77;
full;3;3;247.35;
full;4;3;258.56;
full;5;3;229.86;
full;6;3;227.23;
full;7;3;234.25;
full;8;3;252.32;
full;9;3;241.31;
full;10;3;261.53;
full;11;3;305.88;
full;12;3;304.93;
full;13;3;291.97;
full;14;3;325.64;
full;15;3;287.28;
full;16;3;305.88;
full;17;3;283.53;
full;18;3;340.66;
full;19;3;316.56;
full;20;3;349.15;
full;21;3;394.48;
full;22;3;380.79;
full;23;3;326.98;
full;24;3;330.54;
full;25;3;412.72;
full;26;3;381.47;
full;27;3;456.61;
full;28;3;367.09;
full;29;3;406.44;
full;30;3;545.44;
full;31;3;590.01;
full;32;3;528.16;
full;33;3;627.97;
full;34;3;581.05;
full;35;3;620.34;
full;36;3;644.82;
full;37;3;570.63;
full;38;3;714.86;
full;39;3;625.44;
full;40;3;349.03;
full;41;3;438.63;
full;42;3;360.8;
full;43;3;367.27;
full;44;3;434.2;
full;45;3;534.71;
full;46;3;501.71;
full;47;3;480.65;
full;48;3;634.03;
full;49;3;618.36;
full;50;3;493.17;
full;51;3;491.89;
full;52;3;545.28;
full;53;3;611.89;
full;54;3;665.02;
full;55;3;390.87;
