alg;inst;repl ;tempo
full;0;1;12.9
full;1;1;3.9
full;2;1;5.08
full;3;1;6.68
full;4;1;8.6
full;5;1;3.13
full;6;1;3.5
full;7;1;5.45
full;8;1;7.43
full;9;1;10.15
full;10;1;5.5
full;11;1;8.2
full;12;1;11.33
full;13;1;5.48
full;14;1;7.03
full;15;1;5.08
full;16;1;4.68
full;17;1;5.08
full;18;1;6.63
full;19;1;8.98
full;20;1;3.13
full;21;1;7.43
full;22;1;6.63
full;23;1;3.9
full;24;1;7.43
full;25;1;6.25
full;26;1;5.08
full;27;1;5.08
full;28;1;9
full;29;1;8.6
full;30;1;5.45
full;31;1;3.53
full;32;1;5.48
full;33;1;6.65
full;34;1;8.2
full;35;1;4.3
full;36;1;4.3
full;37;1;7.03
full;38;1;5.08
full;39;1;6.63
full;40;1;5.08
full;41;1;3.9
full;42;1;6.65
full;43;1;6.25
full;44;1;11.73
full;45;1;6.63
full;46;1;6.25
full;47;1;9.03
full;48;1;9.75
full;49;1;6.23
full;50;1;6.65
full;51;1;5.85
full;52;1;5.48
full;53;1;11.73
full;54;1;6.65
full;55;1;6.63
full;56;1;6.63
full;57;1;16.8
full;58;1;14.85
full;59;1;11.75
full;60;1;3.9
full;61;1;12.1
full;62;1;8.2
full;63;1;9.78
full;64;1;15.63
full;65;1;7.05
full;66;1;8.98
full;67;1;8.6
full;68;1;7.43
full;69;1;9.38
full;70;1;8.6
full;71;1;4.3
full;72;1;8.2
full;73;1;13.28
full;74;1;13.68
full;75;1;3.5
full;76;1;9.38
full;77;1;11.73
full;78;1;16.4
full;79;1;20.33
full;80;1;5.85
full;81;1;10.15
full;82;1;15.25
full;83;1;13.28
full;84;1;21.48
full;85;1;12.9
full;86;1;7.83
full;87;1;17.2
full;88;1;22.28
full;89;1;24.23
full;90;1;19.93
full;91;1;16.8
full;92;1;25.8
full;93;1;27.35
full;94;1;25.78
full;95;1;23.65
full;96;1;32.8
full;97;1;25.75
full;98;1;57.05
full;99;1;60.95
full;100;1;27.35
full;101;1;29.7
full;102;1;62.5
full;103;1;45
full;104;1;66.38
full;105;1;43
full;106;1;48.88
full;107;1;27.38
full;108;1;44.88
full;109;1;60.63
full;110;1;50.88
full;111;1;50.88
full;112;1;62.5
full;113;1;58.63
full;114;1;70.25
full;115;1;37.13
full;116;1;23.5
full;117;1;23.5
full;118;1;60.5
full;119;1;52.75
full;120;1;39
full;121;1;78.13
full;122;1;78.13
full;123;1;111.25
full;124;1;78.13
full;125;1;76.13
full;126;1;70.38
full;127;1;86.63
full;128;1;123
full;129;1;109.38
full;130;1;74.25
full;131;1;54.75
full;132;1;66.38
full;133;1;72.25
full;134;1;113.25
full;135;1;82
full;136;1;48.75
full;137;1;105.5
full;138;1;76.13
full;139;1;195.25
full;140;1;125
full;141;1;97.63
full;142;1;175.75
full;143;1;197.25
full;144;1;295
full;145;1;60.5
full;146;1;107.38
full;147;1;152.38
full;148;1;272.5
full;149;1;390
full;150;1;310
full;151;1;355.5
full;152;1;292.75
full;153;1;257.75
full;154;1;343.75
full;155;1;297
full;156;1;383
full;157;1;336
full;158;1;414
full;159;1;547
full;160;1;226.5
full;161;1;281
full;162;1;320
full;163;1;335.5
full;164;1;547
full;165;1;430
full;166;1;570
full;167;1;484.5
full;168;1;336
full;169;1;281
full;170;1;470
full;171;1;470
full;172;1;625
full;173;1;585
full;174;1;702.5
full;175;1;352.5
full;176;1;350
full;177;1;507.5
full;178;1;585
full;179;1;977.5
full;0;2;4.3
full;1;2;8.58
full;2;2;5.45
full;3;2;8.98
full;4;2;7.4
full;5;2;3.5
full;6;2;8.98
full;7;2;5.45
full;8;2;7.03
full;9;2;6.25
full;10;2;6.25
full;11;2;6.63
full;12;2;8.98
full;13;2;3.9
full;14;2;6.63
full;15;2;3.13
full;16;2;5.08
full;17;2;7.4
full;18;2;7.03
full;19;2;7.8
full;20;2;3.13
full;21;2;6.63
full;22;2;5.08
full;23;2;7.03
full;24;2;7.03
full;25;2;3.9
full;26;2;5.85
full;27;2;4.68
full;28;2;8.58
full;29;2;8.58
full;30;2;5.08
full;31;2;4.28
full;32;2;5.88
full;33;2;3.9
full;34;2;6.63
full;35;2;2.73
full;36;2;4.68
full;37;2;5.48
full;38;2;7.03
full;39;2;5.85
full;40;2;7.8
full;41;2;7.03
full;42;2;6.63
full;43;2;7.03
full;44;2;12.9
full;45;2;6.25
full;46;2;3.9
full;47;2;9.38
full;48;2;8.98
full;49;2;8.2
full;50;2;5.08
full;51;2;6.63
full;52;2;9.78
full;53;2;8.2
full;54;2;9.38
full;55;2;8.2
full;56;2;8.58
full;57;2;12.88
full;58;2;23.83
full;59;2;12.88
full;60;2;5.85
full;61;2;9.38
full;62;2;6.63
full;63;2;7.4
full;64;2;15.23
full;65;2;6.25
full;66;2;9.38
full;67;2;4.68
full;68;2;9.75
full;69;2;5.85
full;70;2;7.8
full;71;2;4.3
full;72;2;8.2
full;73;2;11.35
full;74;2;15.23
full;75;2;3.53
full;76;2;10.93
full;77;2;14.83
full;78;2;10.55
full;79;2;14.45
full;80;2;10.55
full;81;2;14.45
full;82;2;23.43
full;83;2;13.68
full;84;2;14.83
full;85;2;7.8
full;86;2;9.75
full;87;2;19.13
full;88;2;8.6
full;89;2;12.88
full;90;2;17.2
full;91;2;14.45
full;92;2;20.7
full;93;2;21.48
full;94;2;39.85
full;95;2;17.15
full;96;2;23.4
full;97;2;56.25
full;98;2;48.45
full;99;2;71.1
full;100;2;35.9
full;101;2;36.7
full;102;2;50.75
full;103;2;23.38
full;104;2;50.88
full;105;2;29.38
full;106;2;46.88
full;107;2;21.38
full;108;2;41
full;109;2;25.38
full;110;2;46.88
full;111;2;31.38
full;112;2;46.88
full;113;2;58.5
full;114;2;56.75
full;115;2;41
full;116;2;27.38
full;117;2;46.88
full;118;2;68.38
full;119;2;58.5
full;120;2;50.75
full;121;2;95.75
full;122;2;132.75
full;123;2;62.5
full;124;2;83.88
full;125;2;44.88
full;126;2;66.5
full;127;2;62.5
full;128;2;48.75
full;129;2;170
full;130;2;76.13
full;131;2;42.88
full;132;2;85.88
full;133;2;80.13
full;134;2;173.75
full;135;2;41
full;136;2;93.75
full;137;2;115.25
full;138;2;113.25
full;139;2;177.75
full;140;2;80.13
full;141;2;95.63
full;142;2;201.25
full;143;2;216.75
full;144;2;177.63
full;145;2;44.88
full;146;2;103.5
full;147;2;166
full;148;2;312.5
full;149;2;350
full;150;2;272.5
full;151;2;258
full;152;2;343.75
full;153;2;320.25
full;154;2;214.75
full;155;2;94
full;156;2;320.5
full;157;2;265.5
full;158;2;468.5
full;159;2;523.5
full;160;2;265.5
full;161;2;273.5
full;162;2;414.5
full;163;2;398.5
full;164;2;507.5
full;165;2;320
full;166;2;617.5
full;167;2;586
full;168;2;484.5
full;169;2;857.5
full;170;2;507.5
full;171;2;430
full;172;2;665
full;173;2;742.5
full;174;2;702.5
full;175;2;507.5
full;176;2;272.5
full;177;2;507.5
full;178;2;235
full;179;2;780
full;0;3;2.73
full;1;3;3.9
full;2;3;3.9
full;3;3;7.03
full;4;3;6.25
full;5;3;3.5
full;6;3;3.13
full;7;3;7.03
full;8;3;5.85
full;9;3;7.8
full;10;3;5.85
full;11;3;6.63
full;12;3;9.38
full;13;3;6.63
full;14;3;6.63
full;15;3;3.13
full;16;3;6.25
full;17;3;7.03
full;18;3;7.4
full;19;3;8.58
full;20;3;3.9
full;21;3;4.28
full;22;3;5.85
full;23;3;5.08
full;24;3;8.58
full;25;3;3.5
full;26;3;4.68
full;27;3;6.25
full;28;3;7.8
full;29;3;6.25
full;30;3;4.28
full;31;3;5.45
full;32;3;5.48
full;33;3;6.63
full;34;3;8.98
full;35;3;4.68
full;36;3;3.9
full;37;3;6.63
full;38;3;6.63
full;39;3;6.78
full;40;3;6.63
full;41;3;7.8
full;42;3;9.38
full;43;3;4.28
full;44;3;12.1
full;45;3;5.08
full;46;3;6.23
full;47;3;5.85
full;48;3;5.45
full;49;3;8.58
full;50;3;5.08
full;51;3;5.08
full;52;3;7.4
full;53;3;7.03
full;54;3;10.15
full;55;3;5.85
full;56;3;10.55
full;57;3;9.38
full;58;3;16.03
full;59;3;11.33
full;60;3;3.9
full;61;3;4.28
full;62;3;7.8
full;63;3;10.93
full;64;3;13.28
full;65;3;8.58
full;66;3;5.45
full;67;3;5.45
full;68;3;9.38
full;69;3;6.25
full;70;3;8.2
full;71;3;6.25
full;72;3;10.95
full;73;3;10.15
full;74;3;16.8
full;75;3;3.93
full;76;3;16.4
full;77;3;14.45
full;78;3;10.15
full;79;3;14.08
full;80;3;7.4
full;81;3;7.03
full;82;3;13.65
full;83;3;17.58
full;84;3;26.7
full;85;3;12.5
full;86;3;7.83
full;87;3;16.8
full;88;3;11.7
full;89;3;8.58
full;90;3;17.2
full;91;3;19.15
full;92;3;23.83
full;93;3;27.75
full;94;3;41.4
full;95;3;36.7
full;96;3;36.7
full;97;3;42.95
full;98;3;25.8
full;99;3;71.1
full;100;3;33.55
full;101;3;42.95
full;102;3;47
full;103;3;27.38
full;104;3;56.75
full;105;3;13.63
full;106;3;46.88
full;107;3;62.5
full;108;3;41
full;109;3;27.38
full;110;3;37
full;111;3;37
full;112;3;48.88
full;113;3;43
full;114;3;74.13
full;115;3;37.13
full;116;3;25.38
full;117;3;46.88
full;118;3;86
full;119;3;43
full;120;3;58.5
full;121;3;95.75
full;122;3;50.75
full;123;3;119.13
full;124;3;125
full;125;3;74.25
full;126;3;72.38
full;127;3;52.75
full;128;3;123
full;129;3;119.13
full;130;3;27.25
full;131;3;39.13
full;132;3;91.75
full;133;3;70.25
full;134;3;119.13
full;135;3;46.88
full;136;3;126.88
full;137;3;121.13
full;138;3;117.25
full;139;3;158.13
full;140;3;109.38
full;141;3;150.38
full;142;3;138.63
full;143;3;173.88
full;144;3;226.5
full;145;3;45
full;146;3;150.38
full;147;3;191.5
full;148;3;232.5
full;149;3;470
full;150;3;310
full;151;3;175.75
full;152;3;363.25
full;153;3;351.5
full;154;3;320
full;155;3;265.5
full;156;3;320.5
full;157;3;359.5
full;158;3;508
full;159;3;382.5
full;160;3;359.5
full;161;3;375
full;162;3;437.5
full;163;3;328
full;164;3;609
full;165;3;304.5
full;166;3;453
full;167;3;617.5
full;168;3;586
full;169;3;820
full;170;3;545
full;171;3;390
full;172;3;665
full;173;3;820
full;174;3;662.5
full;175;3;510
full;176;3;312.5
full;177;3;467.5
full;178;3;275
full;179;3;857.5
full;0;4;3.5
full;1;4;5.08
full;2;4;5.85
full;3;4;4.68
full;4;4;5.85
full;5;4;5.45
full;6;4;4.3
full;7;4;6.63
full;8;4;7.43
full;9;4;7.03
full;10;4;6.63
full;11;4;7.03
full;12;4;11.33
full;13;4;7.8
full;14;4;5.85
full;15;4;4.28
full;16;4;4.28
full;17;4;6.63
full;18;4;6.63
full;19;4;7.03
full;20;4;3.5
full;21;4;3.5
full;22;4;4.28
full;23;4;5.45
full;24;4;7.8
full;25;4;5.45
full;26;4;5.08
full;27;4;6.63
full;28;4;8.98
full;29;4;7.8
full;30;4;3.9
full;31;4;4.68
full;32;4;6.23
full;33;4;8.98
full;34;4;8.2
full;35;4;4.68
full;36;4;3.9
full;37;4;6.65
full;38;4;5.45
full;39;4;8.98
full;40;4;3.9
full;41;4;4.68
full;42;4;7.8
full;43;4;7.8
full;44;4;7.4
full;45;4;4.28
full;46;4;3.9
full;47;4;8.98
full;48;4;8.98
full;49;4;8.2
full;50;4;4.68
full;51;4;10.93
full;52;4;5.85
full;53;4;10.55
full;54;4;12.1
full;55;4;3.9
full;56;4;5.08
full;57;4;12.1
full;58;4;11.33
full;59;4;14.83
full;60;4;8.2
full;61;4;9.38
full;62;4;10.93
full;63;4;6.25
full;64;4;11.7
full;65;4;7.8
full;66;4;8.58
full;67;4;8.2
full;68;4;9.38
full;69;4;6.25
full;70;4;7.8
full;71;4;6.25
full;72;4;13.68
full;73;4;10.18
full;74;4;12.1
full;75;4;3.53
full;76;4;8.6
full;77;4;15
full;78;4;8.6
full;79;4;14.45
full;80;4;6.25
full;81;4;12.1
full;82;4;11.33
full;83;4;17.58
full;84;4;17.95
full;85;4;9.75
full;86;4;10.18
full;87;4;12.88
full;88;4;8.58
full;89;4;21.48
full;90;4;10.53
full;91;4;12.88
full;92;4;22.28
full;93;4;23.03
full;94;4;37.1
full;95;4;23.45
full;96;4;45.3
full;97;4;37.5
full;98;4;29.65
full;99;4;70.3
full;100;4;35.95
full;101;4;42.2
full;102;4;54.5
full;103;4;21.5
full;104;4;61.13
full;105;4;13.75
full;106;4;50.75
full;107;4;58.5
full;108;4;70.25
full;109;4;25.38
full;110;4;27.38
full;111;4;37
full;112;4;44.88
full;113;4;43
full;114;4;72.25
full;115;4;48.75
full;116;4;27.38
full;117;4;48.75
full;118;4;70.25
full;119;4;52.75
full;120;4;64.38
full;121;4;48.75
full;122;4;33.25
full;123;4;80.13
full;124;4;132.75
full;125;4;76.25
full;126;4;89.88
full;127;4;99.63
full;128;4;115.13
full;129;4;78.13
full;130;4;101.5
full;131;4;70.25
full;132;4;93.75
full;133;4;103.5
full;134;4;125
full;135;4;42.88
full;136;4;107.5
full;137;4;113.25
full;138;4;46.88
full;139;4;89.88
full;140;4;121.13
full;141;4;126.88
full;142;4;175.75
full;143;4;105.5
full;144;4;255.88
full;145;4;101.63
full;146;4;158.13
full;147;4;142.5
full;148;4;324
full;149;4;430
full;150;4;289
full;151;4;86
full;152;4;321.5
full;153;4;175.75
full;154;4;601.5
full;155;4;258
full;156;4;382.5
full;157;4;258
full;158;4;477
full;159;4;180
full;160;4;273.5
full;161;4;398.5
full;162;4;453
full;163;4;554.5
full;164;4;289
full;165;4;539
full;166;4;484
full;167;4;304.5
full;168;4;617
full;169;4;390
full;170;4;547.5
full;171;4;547.5
full;172;4;272.5
full;173;4;467.5
full;174;4;860
full;175;4;547.5
full;176;4;545
full;177;4;507.5
full;178;4;275
full;179;4;1055
full;0;5;4.68
full;1;5;3.5
full;2;5;7.03
full;3;5;6.63
full;4;5;7.03
full;5;5;3.9
full;6;5;3.1
full;7;5;3.9
full;8;5;7.03
full;9;5;8.58
full;10;5;4.68
full;11;5;5.45
full;12;5;8.2
full;13;5;6.25
full;14;5;7.4
full;15;5;4.28
full;16;5;3.9
full;17;5;7.8
full;18;5;6.63
full;19;5;12.1
full;20;5;4.68
full;21;5;7.03
full;22;5;7.03
full;23;5;7.03
full;24;5;7.4
full;25;5;5.45
full;26;5;5.45
full;27;5;5.45
full;28;5;6.63
full;29;5;4.7
full;30;5;5.85
full;31;5;5.45
full;32;5;5.08
full;33;5;5.08
full;34;5;4.28
full;35;5;2.73
full;36;5;4.28
full;37;5;5.85
full;38;5;5.85
full;39;5;5.85
full;40;5;6.25
full;41;5;6.63
full;42;5;7.8
full;43;5;7.8
full;44;5;13.68
full;45;5;3.9
full;46;5;7.03
full;47;5;4.28
full;48;5;8.98
